# purchasing power per European country (2015)
# stats were taken from numbeo.com
# country, Purchasing power index
Switzerland,146.51
Germany,111.84
Sweden,110.95
Denmark,105.70
Austria,104.55
Netherlands,102.02
Finland,101.17
United Kingdom,98.12
Norway,96.30
Ireland,95.72
France,92.62
Belgium,86.16
Italy,79.35
Spain,76.71
Czech Republic,68.07
Slovenia,64.16
Poland,63.49
Portugal,58.22
Slovakia,56.05
Greece,51.89
Estonia,51.44
Croatia,50.47
Lithuania,46.85
Hungary,46.85
Bosnia And Herzegovina,44.74
Latvia,44.39
Romania,40.62
Bulgaria,39.88
Serbia,39.15
Russia,38.86
Belarus,35.82
Macedonia,35.48
Ukraine,27.87
Moldova,23.70
