# purchasing power per European country (2016)
# stats were taken from numbeo.com
# country, Purchasing power index
Switzerland,178.74
Germany,147.61
Denmark,142.14
Finland,132.93
Netherlands,129.34
Sweden,128.22
Norway,125.75
Ireland,125.66
Austria,120.46
United Kingdom,120.00
France,118.51
Belgium,106.69
Italy,105.67
Spain,186.41
Czech Republic,89.99
Slovenia,89.76
Poland,80.77
Greece,79.27
Portugal,75.47
Croatia,67.89
Romania,61.90
Lithuania,61.25
Bosnia And Herzegovina,60.64
Bulgaria,59.19
Russia,57.42
Hungary,56.30
Serbia,49.62
Macedonia,46.74
Ukraine,29.66
