# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20050101,   69,   28,  106
  260,20050102,   64,   56,   86
  260,20050103,   75,   58,   89
  260,20050104,   76,   66,   93
  260,20050105,   59,   31,   77
  260,20050106,   77,   56,   95
  260,20050107,  112,   93,  125
  260,20050108,   91,   53,  118
  260,20050109,   75,   50,  108
  260,20050110,  113,   89,  133
  260,20050111,  101,   86,  117
  260,20050112,   79,   54,  108
  260,20050113,   56,   29,   76
  260,20050114,   29,  -10,   80
  260,20050115,    3,  -25,   39
  260,20050116,   12,  -22,   43
  260,20050117,   63,   34,   77
  260,20050118,   47,   21,   80
  260,20050119,   55,   40,   74
  260,20050120,   96,   66,  109
  260,20050121,   58,   38,   82
  260,20050122,   39,  -10,   82
  260,20050123,   16,  -20,   67
  260,20050124,    6,  -24,   39
  260,20050125,   -3,  -23,   17
  260,20050126,   -8,  -27,   17
  260,20050127,   13,   -7,   30
  260,20050128,   20,    6,   29
  260,20050129,   12,  -16,   39
  260,20050130,   59,   36,   75
  260,20050131,   65,   42,   80
  260,20050201,   46,   32,   63
  260,20050202,   62,   43,   81
  260,20050203,   65,   50,   82
  260,20050204,   55,   21,   83
  260,20050205,   23,   -6,   46
  260,20050206,   25,  -34,   75
  260,20050207,   -8,  -45,   50
  260,20050208,   -4,  -54,   46
  260,20050209,   52,  -17,   89
  260,20050210,   74,   53,   90
  260,20050211,   66,   52,   92
  260,20050212,   81,   45,  119
  260,20050213,   35,   10,   59
  260,20050214,   36,   10,   65
  260,20050215,   17,    4,   38
  260,20050216,    0,  -19,   24
  260,20050217,    6,   -9,   21
  260,20050218,   18,    4,   45
  260,20050219,   24,   -1,   63
