# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20050220,   22,    0,   54
  260,20050221,   18,    2,   43
  260,20050222,    2,  -17,   25
  260,20050223,   -3,  -24,   14
  260,20050224,    0,  -23,   24
  260,20050225,    0,  -36,   29
  260,20050226,   12,  -12,   40
  260,20050227,  -24,  -56,    0
  260,20050228,  -31,  -92,   16
  260,20050301,  -13,  -30,    6
  260,20050302,   -7,  -13,    4
  260,20050303,  -24,  -78,   -5
  260,20050304,  -55, -144,   -1
  260,20050305,  -16,  -48,   11
  260,20050306,  -11,  -82,   26
  260,20050307,   35,   12,   57
  260,20050308,   49,   33,   69
  260,20050309,   44,   13,   71
  260,20050310,   27,  -17,   58
  260,20050311,   45,   20,   73
  260,20050312,   36,   13,   52
  260,20050313,   45,   23,   78
  260,20050314,   40,   -9,   75
  260,20050315,   81,   -9,  123
  260,20050316,  139,   97,  193
  260,20050317,  111,   87,  130
  260,20050318,   94,   71,  115
  260,20050319,   95,   70,  118
  260,20050320,   78,   39,  122
  260,20050321,   99,   21,  157
  260,20050322,  122,   89,  177
  260,20050323,  121,   84,  170
  260,20050324,  128,   73,  188
  260,20050325,  104,   81,  132
  260,20050326,  108,   73,  158
  260,20050327,  116,   81,  160
  260,20050328,  104,   77,  137
  260,20050329,  104,   75,  137
  260,20050330,  118,   80,  161
  260,20050331,  111,   72,  161
  260,20050401,  102,   42,  171
  260,20050402,  108,   26,  173
  260,20050403,  138,   79,  212
  260,20050404,  118,   63,  187
  260,20050405,   90,   51,  128
  260,20050406,   88,   47,  126
  260,20050407,   91,   70,  126
  260,20050408,   64,   33,  102
  260,20050409,   48,   14,   69
  260,20050410,   78,   38,  123
  260,20050411,  104,   42,  161
  260,20050412,   99,   23,  158
  260,20050413,  105,   74,  124
  260,20050414,  124,   98,  170
  260,20050415,  107,   70,  178
  260,20050416,   78,   64,   90
  260,20050417,  116,   75,  176
  260,20050418,  105,   52,  161
  260,20050419,   86,   45,  128
  260,20050420,   88,   51,  136
  260,20050421,   83,   19,  135
  260,20050422,   89,    1,  162
  260,20050423,  112,   28,  186
  260,20050424,  126,   33,  186
  260,20050425,  127,   77,  180
  260,20050426,  106,   47,  162
  260,20050427,  114,   81,  155
  260,20050428,  129,   38,  179
  260,20050429,  142,  102,  181
  260,20050430,  151,  106,  194
  260,20050501,  196,   97,  285
  260,20050502,  151,  104,  187
  260,20050503,  138,   94,  184
  260,20050504,  118,   90,  139
  260,20050505,   98,   50,  134
  260,20050506,  104,   83,  123
  260,20050507,   85,   52,  111
  260,20050508,   77,   40,  118
  260,20050509,   79,   48,  120
  260,20050510,   80,   42,  131
  260,20050511,   82,   31,  126
  260,20050512,   89,    4,  144
  260,20050513,  118,   52,  180
  260,20050514,  109,   69,  166
  260,20050515,  107,   57,  162
  260,20050516,   91,   23,  153
  260,20050517,   67,   12,  106
  260,20050518,   83,    2,  148
  260,20050519,  133,   50,  190
  260,20050520,  165,  131,  212
  260,20050521,  156,  110,  207
  260,20050522,  146,   98,  201
  260,20050523,  124,   78,  166
  260,20050524,  136,   79,  181
  260,20050525,  174,  134,  228
  260,20050526,  206,  127,  291
  260,20050527,  226,  108,  307
  260,20050528,  197,  121,  250
  260,20050529,  142,   86,  193
  260,20050530,  103,   69,  129
  260,20050531,  118,   64,  167
  260,20050601,  135,   38,  190
  260,20050602,  156,  133,  194
  260,20050603,  173,  134,  257
  260,20050604,  143,  118,  185
  260,20050605,  143,  127,  171
  260,20050606,  117,   83,  147
  260,20050607,  108,   73,  140
  260,20050608,  117,   49,  166
  260,20050609,  132,   43,  189
  260,20050610,  128,   58,  193
  260,20050611,  113,   77,  146
  260,20050612,  118,   67,  165
  260,20050613,  119,   71,  167
  260,20050614,  142,   50,  209
  260,20050615,  163,   69,  243
  260,20050616,  180,  130,  228
  260,20050617,  189,  173,  218
  260,20050618,  200,  145,  261
  260,20050619,  225,  127,  298
  260,20050620,  252,  157,  328
  260,20050621,  203,  140,  257
  260,20050622,  196,  118,  258
  260,20050623,  235,  140,  307
  260,20050624,  256,  169,  326
  260,20050625,  186,  126,  221
  260,20050626,  172,  114,  233
  260,20050627,  175,  110,  234
  260,20050628,  187,   94,  256
  260,20050629,  191,  141,  261
  260,20050630,  174,  125,  231
  260,20050701,  166,  123,  210
  260,20050702,  177,  127,  210
  260,20050703,  200,  154,  252
  260,20050704,  172,  127,  233
  260,20050705,  148,  113,  190
  260,20050706,  149,  116,  199
  260,20050707,  152,  101,  200
  260,20050708,  148,   94,  197
  260,20050709,  169,  107,  214
  260,20050710,  218,  157,  274
  260,20050711,  201,  168,  245
  260,20050712,  201,  157,  257
  260,20050713,  196,  148,  251
  260,20050714,  213,  139,  281
  260,20050715,  203,  156,  239
  260,20050716,  168,  107,  223
  260,20050717,  177,   89,  232
  260,20050718,  200,  133,  261
  260,20050719,  179,  161,  200
  260,20050720,  163,  130,  190
  260,20050721,  153,  128,  174
  260,20050722,  147,  134,  172
  260,20050723,  147,  105,  183
  260,20050724,  169,  108,  225
  260,20050725,  173,  147,  201
  260,20050726,  153,  131,  183
  260,20050727,  179,  134,  227
  260,20050728,  220,  162,  285
  260,20050729,  209,  178,  262
  260,20050730,  175,  146,  215
  260,20050731,  148,  132,  161
  260,20050801,  155,  106,  194
  260,20050802,  149,   84,  206
  260,20050803,  153,   90,  215
  260,20050804,  165,  118,  205
  260,20050805,  147,  111,  178
  260,20050806,  136,   83,  192
  260,20050807,  134,   81,  178
  260,20050808,  155,  115,  190
  260,20050809,  146,  126,  175
  260,20050810,  155,  129,  187
  260,20050811,  161,  115,  196
  260,20050812,  141,  106,  193
  260,20050813,  158,   89,  217
  260,20050814,  159,  135,  192
  260,20050815,  151,  132,  172
  260,20050816,  160,  100,  219
  260,20050817,  173,   93,  237
  260,20050818,  203,  126,  272
  260,20050819,  189,  153,  257
  260,20050820,  176,  142,  214
  260,20050821,  179,  141,  227
  260,20050822,  169,  126,  219
  260,20050823,  151,   88,  194
  260,20050824,  156,   83,  205
  260,20050825,  148,   99,  192
  260,20050826,  142,  104,  182
  260,20050827,  151,  102,  205
  260,20050828,  163,   98,  230
  260,20050829,  181,  110,  254
  260,20050830,  189,   96,  261
  260,20050831,  225,  137,  289
  260,20050901,  197,  157,  227
  260,20050902,  185,  142,  235
  260,20050903,  180,  149,  235
  260,20050904,  190,  117,  250
  260,20050905,  205,  143,  268
  260,20050906,  193,  123,  258
  260,20050907,  189,  134,  254
  260,20050908,  204,  128,  276
  260,20050909,  208,  163,  266
  260,20050910,  206,  168,  260
  260,20050911,  181,  167,  193
  260,20050912,  169,  117,  208
  260,20050913,  154,  105,  212
  260,20050914,  163,  120,  192
  260,20050915,  147,  104,  182
  260,20050916,  116,   70,  155
  260,20050917,   98,   48,  162
  260,20050918,  107,   35,  185
  260,20050919,  116,   45,  194
  260,20050920,  123,   50,  199
  260,20050921,  131,   58,  209
  260,20050922,  135,   66,  213
  260,20050923,  148,   66,  221
  260,20050924,  153,  100,  194
  260,20050925,  154,  119,  199
  260,20050926,  148,  121,  191
  260,20050927,  142,  124,  165
  260,20050928,  132,  107,  166
  260,20050929,  117,   87,  152
  260,20050930,  124,   90,  149
  260,20051001,  135,   85,  169
  260,20051002,  111,   67,  163
  260,20051003,  111,   50,  167
  260,20051004,  122,   78,  165
  260,20051005,  136,   99,  192
  260,20051006,  129,   97,  183
  260,20051007,  135,   85,  201
  260,20051008,  139,   83,  177
  260,20051009,  138,  110,  170
  260,20051010,  158,  110,  212
  260,20051011,  151,  113,  204
  260,20051012,  152,  113,  209
  260,20051013,  147,  110,  209
  260,20051014,  150,  113,  193
  260,20051015,  133,   87,  192
  260,20051016,  113,   69,  173
  260,20051017,   88,   44,  135
  260,20051018,   94,   53,  139
  260,20051019,   98,   77,  126
  260,20051020,  120,   70,  162
  260,20051021,  121,   63,  164
  260,20051022,  124,  107,  148
  260,20051023,  107,   83,  137
  260,20051024,  128,   93,  155
  260,20051025,  144,  134,  156
  260,20051026,  141,  111,  176
  260,20051027,  161,  127,  208
  260,20051028,  163,  132,  195
  260,20051029,  165,  135,  197
  260,20051030,  165,  138,  211
  260,20051031,  157,  124,  193
  260,20051101,  122,   61,  161
  260,20051102,  124,   69,  155
  260,20051103,  159,  136,  187
  260,20051104,  124,   85,  155
  260,20051105,   89,   62,  124
  260,20051106,  113,   83,  148
  260,20051107,  111,   83,  145
  260,20051108,  116,   81,  167
  260,20051109,   85,   29,  115
  260,20051110,   82,   17,  118
  260,20051111,  121,  107,  143
  260,20051112,   93,   75,  109
  260,20051113,   71,   18,  133
  260,20051114,   52,   -7,  109
  260,20051115,   79,   54,  108
  260,20051116,   55,   35,   77
  260,20051117,   40,   16,   83
  260,20051118,   29,  -16,   95
  260,20051119,   32,  -28,   92
  260,20051120,   54,   31,   79
  260,20051121,   64,   23,  112
  260,20051122,   25,  -10,   46
  260,20051123,   39,   27,   47
  260,20051124,   43,   22,   58
  260,20051125,   24,    6,   47
  260,20051126,   18,    9,   30
  260,20051127,   11,    0,   22
  260,20051128,   21,  -22,   64
  260,20051129,   30,    5,   67
  260,20051130,   29,    3,   54
  260,20051201,   17,    4,   30
  260,20051202,   33,    2,   62
  260,20051203,   72,   54,   85
  260,20051204,   77,   64,   99
  260,20051205,   62,   47,   76
  260,20051206,   58,   44,   74
  260,20051207,   62,   33,   92
  260,20051208,   41,    1,   71
  260,20051209,   10,  -11,   41
  260,20051210,  -12,  -29,    1
  260,20051211,   34,    1,   54
  260,20051212,   60,   27,   90
  260,20051213,   66,   52,   83
  260,20051214,   67,   43,   91
  260,20051215,   81,   62,  101
  260,20051216,   62,   16,   98
  260,20051217,   15,   -9,   41
  260,20051218,   16,  -12,   47
  260,20051219,   43,   10,   87
  260,20051220,   45,   31,   57
  260,20051221,   53,   37,   64
  260,20051222,   76,   46,   86
  260,20051223,   78,   68,   88
  260,20051224,   71,   26,   90
  260,20051225,   45,   18,   72
  260,20051226,   17,  -22,   66
  260,20051227,  -12,  -27,   -2
  260,20051228,  -20,  -44,   10
  260,20051229,  -17,  -64,   15
  260,20051230,  -12,  -31,    4
  260,20051231,   45,    4,   62
