# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20040101,   -1,  -17,    5
  260,20040102,  -19,  -60,    3
  260,20040103,  -38,  -72,   -9
  260,20040104,   27,  -36,   61
  260,20040105,   45,   34,   60
  260,20040106,   66,   35,   92
  260,20040107,   62,   18,   83
  260,20040108,   56,   38,   69
  260,20040109,   61,   44,   72
  260,20040110,   58,   22,   86
  260,20040111,   91,   61,  117
  260,20040112,   54,   46,   65
  260,20040113,   75,   45,   97
  260,20040114,   47,   14,   72
  260,20040115,   51,   23,   64
  260,20040116,   61,   52,   72
  260,20040117,   49,   36,   61
  260,20040118,   21,    3,   42
  260,20040119,   66,   31,   91
  260,20040120,   35,   -7,   90
  260,20040121,   17,    3,   38
  260,20040122,   19,    6,   28
  260,20040123,   19,    3,   45
  260,20040124,   32,   10,   72
  260,20040125,   25,  -24,   74
  260,20040126,    2,  -27,   23
  260,20040127,   10,  -13,   41
  260,20040128,   11,  -12,   54
  260,20040129,   14,  -28,   41
  260,20040130,   25,    8,   46
  260,20040131,   71,   21,  113
  260,20040201,  104,   91,  123
  260,20040202,  107,   96,  120
  260,20040203,  135,  109,  161
  260,20040204,  144,  113,  166
