# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20040205,  120,  106,  145
  260,20040206,  110,   97,  130
  260,20040207,   73,   49,   98
  260,20040208,   41,   17,   68
  260,20040209,   33,   13,   62
  260,20040210,   40,    3,   79
  260,20040211,   61,   32,   80
  260,20040212,   52,   18,   78
  260,20040213,   79,   65,   99
  260,20040214,   70,   22,   90
  260,20040215,   60,   25,   82
  260,20040216,   25,   -8,   54
  260,20040217,   43,   16,   71
  260,20040218,   51,   23,   87
  260,20040219,   15,  -11,   48
  260,20040220,    5,  -26,   47
  260,20040221,    1,  -28,   18
  260,20040222,   23,  -24,   76
  260,20040223,    8,  -33,   64
  260,20040224,   22,  -25,   62
  260,20040225,    5,  -22,   40
  260,20040226,    9,  -16,   53
  260,20040227,  -13,  -42,   10
  260,20040228,  -22,  -78,   42
  260,20040229,   -3,  -58,   45
  260,20040301,   11,  -59,   56
  260,20040302,   34,  -19,   88
  260,20040303,   18,  -30,   87
  260,20040304,   51,    3,   98
  260,20040305,   41,   10,   78
  260,20040306,   21,    2,   52
  260,20040307,   40,  -16,   87
  260,20040308,   27,  -38,   76
  260,20040309,   21,   -1,   42
  260,20040310,   13,   -2,   25
  260,20040311,   21,   -6,   60
  260,20040312,   35,   -3,   64
  260,20040313,   77,   49,  101
  260,20040314,   95,   48,  135
  260,20040315,  120,  103,  136
  260,20040316,  126,   86,  161
  260,20040317,  113,   57,  186
  260,20040318,   96,   34,  146
  260,20040319,   93,   71,  119
  260,20040320,  102,   68,  126
  260,20040321,   85,   52,  114
  260,20040322,   60,    3,   97
  260,20040323,   37,  -16,   97
  260,20040324,   37,  -12,   88
  260,20040325,   34,  -14,   80
  260,20040326,   27,  -36,   82
  260,20040327,   32,  -35,   92
  260,20040328,   64,    1,  122
  260,20040329,   80,   -3,  140
  260,20040330,  105,   32,  167
  260,20040331,  120,   49,  179
  260,20040401,  140,   69,  200
  260,20040402,  123,   87,  177
  260,20040403,  117,   88,  146
  260,20040404,  104,   82,  137
  260,20040405,   80,   43,  117
  260,20040406,   64,   44,   89
  260,20040407,   62,   32,  107
  260,20040408,   61,   19,   96
  260,20040409,   49,   -6,   95
  260,20040410,   58,   -8,   88
  260,20040411,   54,   -6,   95
  260,20040412,   76,  -12,  143
  260,20040413,   89,   31,  135
  260,20040414,   79,   -6,  157
  260,20040415,  106,   25,  185
  260,20040416,  129,   32,  201
  260,20040417,  130,   73,  206
  260,20040418,   97,   66,  127
  260,20040419,   70,   15,  124
  260,20040420,   80,   -3,  156
  260,20040421,  128,   51,  182
  260,20040422,  125,   57,  182
  260,20040423,  105,   29,  176
  260,20040424,  104,   45,  164
  260,20040425,  118,   18,  187
  260,20040426,  133,   52,  203
  260,20040427,  163,   86,  213
  260,20040428,  146,  121,  212
  260,20040429,  143,  119,  177
  260,20040430,  173,  119,  243
  260,20040501,  150,  105,  212
  260,20040502,  126,  102,  146
  260,20040503,  139,   87,  197
  260,20040504,   97,   65,  125
  260,20040505,  102,   33,  147
  260,20040506,  102,   22,  155
  260,20040507,   97,   86,  126
  260,20040508,  109,   68,  133
  260,20040509,  121,   60,  173
  260,20040510,  134,  100,  187
  260,20040511,  110,   92,  150
  260,20040512,  106,   89,  143
  260,20040513,  112,   88,  139
  260,20040514,  122,   69,  172
  260,20040515,  153,  104,  204
  260,20040516,  149,   87,  202
  260,20040517,  151,   61,  224
  260,20040518,  145,   65,  209
  260,20040519,  148,   57,  222
  260,20040520,  142,   69,  202
  260,20040521,  112,   68,  159
  260,20040522,   93,   41,  148
  260,20040523,  102,   36,  149
  260,20040524,  116,   25,  183
  260,20040525,  113,   51,  164
  260,20040526,   99,   25,  160
  260,20040527,   93,   18,  160
  260,20040528,  118,    8,  203
  260,20040529,  158,   43,  236
  260,20040530,  152,  100,  228
  260,20040531,  140,   81,  192
  260,20040601,  157,   65,  225
  260,20040602,  134,  117,  157
  260,20040603,  143,  113,  189
  260,20040604,  141,  106,  180
  260,20040605,  132,   84,  164
  260,20040606,  140,   55,  198
  260,20040607,  189,   91,  266
  260,20040608,  222,  120,  297
  260,20040609,  199,  132,  254
  260,20040610,  181,  130,  239
  260,20040611,  171,  132,  212
  260,20040612,  146,  107,  181
  260,20040613,  136,   72,  181
  260,20040614,  165,   69,  239
  260,20040615,  167,  103,  231
  260,20040616,  152,   86,  194
  260,20040617,  159,  124,  189
  260,20040618,  150,  111,  192
  260,20040619,  123,   80,  166
  260,20040620,  124,   80,  173
  260,20040621,  129,   91,  176
  260,20040622,  145,   60,  193
  260,20040623,  155,  129,  199
  260,20040624,  138,  119,  168
  260,20040625,  129,   72,  170
  260,20040626,  155,   56,  209
  260,20040627,  178,  138,  223
  260,20040628,  154,   84,  204
  260,20040629,  160,   85,  199
  260,20040630,  183,  126,  241
  260,20040701,  161,  123,  191
  260,20040702,  146,  108,  191
  260,20040703,  150,  120,  191
  260,20040704,  146,  119,  188
  260,20040705,  153,   99,  205
  260,20040706,  156,   68,  214
  260,20040707,  167,  104,  221
  260,20040708,  168,  130,  214
  260,20040709,  150,  125,  188
  260,20040710,  151,  101,  187
  260,20040711,  141,  105,  179
  260,20040712,  138,  127,  167
  260,20040713,  142,   96,  183
  260,20040714,  159,   95,  205
  260,20040715,  178,  154,  202
  260,20040716,  181,  131,  216
  260,20040717,  196,  118,  287
  260,20040718,  179,  146,  222
  260,20040719,  170,  128,  222
  260,20040720,  167,  127,  219
  260,20040721,  184,  128,  234
  260,20040722,  203,  136,  262
  260,20040723,  186,  107,  240
  260,20040724,  169,   91,  240
  260,20040725,  146,  117,  171
  260,20040726,  161,   97,  206
  260,20040727,  158,   81,  226
  260,20040728,  176,   98,  233
  260,20040729,  196,  117,  262
  260,20040730,  205,  118,  278
  260,20040731,  195,  124,  258
  260,20040801,  192,  146,  239
  260,20040802,  201,  118,  262
  260,20040803,  219,  138,  274
  260,20040804,  224,  158,  281
  260,20040805,  236,  182,  296
  260,20040806,  230,  170,  300
  260,20040807,  215,  175,  256
  260,20040808,  245,  172,  310
  260,20040809,  265,  208,  325
  260,20040810,  220,  178,  284
  260,20040811,  210,  172,  263
  260,20040812,  193,  164,  245
  260,20040813,  169,  158,  201
  260,20040814,  192,  139,  240
  260,20040815,  194,  131,  253
  260,20040816,  184,  146,  225
  260,20040817,  198,  139,  241
  260,20040818,  209,  170,  262
  260,20040819,  188,  155,  235
  260,20040820,  163,  126,  200
  260,20040821,  137,   79,  192
  260,20040822,  151,   96,  211
  260,20040823,  163,  101,  231
  260,20040824,  169,  143,  220
  260,20040825,  164,  143,  206
  260,20040826,  162,  131,  198
  260,20040827,  156,  148,  165
  260,20040828,  151,   86,  203
  260,20040829,  155,   87,  204
  260,20040830,  146,  126,  183
  260,20040831,  140,   96,  181
  260,20040901,  143,   91,  211
  260,20040902,  157,   80,  233
  260,20040903,  177,   92,  260
  260,20040904,  193,  132,  260
  260,20040905,  194,  114,  280
  260,20040906,  197,  128,  263
  260,20040907,  183,  127,  243
  260,20040908,  161,   79,  220
  260,20040909,  167,   98,  233
  260,20040910,  183,  105,  259
  260,20040911,  186,  154,  223
  260,20040912,  161,  136,  196
  260,20040913,  151,  120,  194
  260,20040914,  143,  112,  198
  260,20040915,  121,   64,  161
  260,20040916,  117,   45,  188
  260,20040917,  151,   90,  204
  260,20040918,  167,  127,  209
  260,20040919,  146,   90,  192
  260,20040920,  141,  115,  158
  260,20040921,  138,  110,  167
  260,20040922,  120,  105,  144
  260,20040923,  125,  100,  153
  260,20040924,  115,   80,  156
  260,20040925,  120,  103,  151
  260,20040926,  139,   95,  180
  260,20040927,  155,  130,  187
  260,20040928,  155,  136,  178
  260,20040929,  129,   82,  162
  260,20040930,  118,   63,  141
  260,20041001,  145,  111,  175
  260,20041002,  139,  114,  174
  260,20041003,  141,  109,  165
  260,20041004,  151,  131,  188
  260,20041005,  137,  105,  165
  260,20041006,  123,   89,  170
  260,20041007,  108,   64,  153
  260,20041008,   94,   39,  155
  260,20041009,   88,   24,  145
  260,20041010,   86,   49,  136
  260,20041011,   82,   44,  126
  260,20041012,   86,   49,  121
  260,20041013,  112,   68,  160
  260,20041014,  123,  107,  144
  260,20041015,  101,   76,  133
  260,20041016,   79,   66,   93
  260,20041017,   85,   69,  109
  260,20041018,   91,   49,  134
  260,20041019,   88,   32,  143
  260,20041020,  134,   88,  180
  260,20041021,  128,  103,  162
  260,20041022,  132,  103,  172
  260,20041023,  154,  132,  176
  260,20041024,  160,  149,  171
  260,20041025,  130,   94,  154
  260,20041026,   85,   22,  138
  260,20041027,   85,   25,  123
  260,20041028,  118,   99,  148
  260,20041029,  123,   85,  171
  260,20041030,   95,   49,  150
  260,20041031,  103,   51,  124
  260,20041101,   80,   40,  101
  260,20041102,   86,   72,   99
  260,20041103,  101,   83,  126
  260,20041104,   98,   63,  128
  260,20041105,   91,   66,  127
  260,20041106,   93,   59,  129
  260,20041107,   76,   54,  118
  260,20041108,   68,   39,   92
  260,20041109,   27,    1,   63
  260,20041110,   63,   34,   85
  260,20041111,   35,   -8,   58
  260,20041112,   51,    3,  102
  260,20041113,   50,   14,   90
  260,20041114,   45,   -6,  101
  260,20041115,   74,   33,   88
  260,20041116,  102,   86,  115
  260,20041117,  114,  101,  126
  260,20041118,   75,   26,  119
  260,20041119,   34,   12,   60
  260,20041120,   20,  -15,   57
  260,20041121,   14,  -14,   69
  260,20041122,  111,   69,  128
  260,20041123,   66,  -13,  110
  260,20041124,   13,  -27,   71
  260,20041125,  -19,  -42,   -5
  260,20041126,   38,  -19,   83
  260,20041127,   80,   63,   97
  260,20041128,   80,   66,   91
  260,20041129,   72,   50,   82
  260,20041130,   49,   24,   75
  260,20041201,   33,   30,   39
  260,20041202,   19,  -23,   74
  260,20041203,   17,   -5,   48
  260,20041204,   33,    0,   56
  260,20041205,   67,   15,   93
  260,20041206,   67,   20,   89
  260,20041207,   64,   53,   72
  260,20041208,   51,    4,   74
  260,20041209,   -7,  -33,   10
  260,20041210,   -2,  -50,   22
  260,20041211,   36,   22,   52
  260,20041212,   27,   11,   36
  260,20041213,  -12,  -19,   12
  260,20041214,    4,  -20,   38
  260,20041215,   40,    8,   60
  260,20041216,   55,   24,   73
  260,20041217,   60,   43,   81
  260,20041218,   46,    8,   76
  260,20041219,    5,  -38,   55
  260,20041220,  -17,  -50,   40
  260,20041221,  -27,  -60,   -5
  260,20041222,   36,   -5,   74
  260,20041223,   97,   71,  116
  260,20041224,   88,   69,  103
  260,20041225,   36,   -1,   71
  260,20041226,  -13,  -47,   43
  260,20041227,  -20,  -65,   41
  260,20041228,   25,  -17,   53
  260,20041229,   41,    9,   73
  260,20041230,   68,   48,   86
  260,20041231,   87,   72,   94
